1,-1,577.02,82.53,62.82,199.46,0.930425,-1,-1,-1
1,-1,348.20,79.11,91.07,250.14,0.906677,-1,-1,-1
1,-1,171.93,96.34,80.13,225.80,0.904992,-1,-1,-1
1,-1,436.40,92.13,88.62,238.79,0.895303,-1,-1,-1
1,-1,99.53,98.49,64.45,220.23,0.883163,-1,-1,-1
1,-1,517.02,112.68,45.10,122.44,0.848050,-1,-1,-1
1,-1,178.88,94.81,34.68,87.44,0.585342,-1,-1,-1
1,-1,0.16,75.64,37.07,220.33,0.258204,-1,-1,-1
2,-1,576.24,83.17,63.55,199.58,0.933856,-1,-1,-1
2,-1,441.98,90.99,83.95,240.19,0.902809,-1,-1,-1
2,-1,350.01,79.37,90.78,250.42,0.898183,-1,-1,-1
2,-1,89.06,99.38,70.12,220.53,0.889089,-1,-1,-1
2,-1,181.66,95.14,70.96,225.00,0.888202,-1,-1,-1
2,-1,515.15,112.77,46.11,122.69,0.821250,-1,-1,-1
2,-1,179.51,94.86,37.50,158.26,0.484834,-1,-1,-1
2,-1,179.73,94.74,36.93,88.96,0.398371,-1,-1,-1
2,-1,0.29,75.54,34.06,203.56,0.268500,-1,-1,-1
3,-1,574.07,83.94,65.67,198.32,0.947430,-1,-1,-1
3,-1,75.80,100.86,78.40,218.86,0.898578,-1,-1,-1
3,-1,444.18,90.47,84.56,240.17,0.894684,-1,-1,-1
3,-1,190.88,92.97,68.83,227.23,0.894234,-1,-1,-1
3,-1,352.94,80.45,97.97,248.58,0.894062,-1,-1,-1
3,-1,515.68,113.03,44.80,121.23,0.814719,-1,-1,-1
3,-1,178.74,95.12,40.18,157.74,0.739386,-1,-1,-1
3,-1,0.30,75.71,34.59,203.47,0.254966,-1,-1,-1
4,-1,572.64,85.31,67.10,197.26,0.941215,-1,-1,-1
4,-1,64.89,102.86,84.96,217.56,0.914097,-1,-1,-1
4,-1,448.80,89.92,83.06,239.17,0.904516,-1,-1,-1
4,-1,195.52,91.74,73.40,227.92,0.889496,-1,-1,-1
4,-1,355.28,82.41,100.26,246.57,0.886699,-1,-1,-1
4,-1,179.64,95.05,39.62,158.99,0.800655,-1,-1,-1
4,-1,516.64,113.36,43.09,121.56,0.769026,-1,-1,-1
5,-1,570.64,86.37,69.02,195.90,0.932173,-1,-1,-1
5,-1,58.44,103.72,88.98,218.88,0.915183,-1,-1,-1
5,-1,200.02,91.37,79.90,228.29,0.902384,-1,-1,-1
5,-1,451.45,89.66,82.86,235.19,0.893628,-1,-1,-1
5,-1,358.71,83.75,100.05,245.54,0.889051,-1,-1,-1
5,-1,179.65,95.19,40.66,159.59,0.807936,-1,-1,-1
5,-1,515.76,113.81,43.36,119.75,0.762772,-1,-1,-1
5,-1,0.18,75.91,38.12,218.75,0.257839,-1,-1,-1
6,-1,567.54,87.02,71.25,195.24,0.918872,-1,-1,-1
